"brokerage_name","apartment_id","latitude","longitude","date_available","bedrooms","beds_count","bathrooms","rent","city","state","area","neighborhood","metro_id","neighborhood_id","sub_neighborhood_id","metro_name","nbhd_name","sub_nbhd_name","source","zip","address","apply_token_url","exclusive_by","mls_id","status","hide_rb_cp","hide_partner_cp","is_featured","match_type","Scrape_Date"
"",2381725,42.344518,-71.099107,"2018-11-13",2,2,1,5218,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1325 Boylston Street Boston","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1308317,42.3442914,-71.1008899,"2018-11-13",1,1,1,3336,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",95929,42.342022,-71.097574,"2018-11-13",0,0,1,1850,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Office","02215","121 Park Drive","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1384902,42.3442914,-71.1008899,"2018-11-13",1,1,1,3969,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1079758,42.3442914,-71.1008899,"2018-11-13",1,1,1,2969,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",89045,42.350164,-71.094723,"2018-11-13",2,2,1,2850,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16783,"","Fenway - Kenmore - Audubon Circle - Longwood",16783,"Office","02215","41 Bay State Road","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",89051,42.350164,-71.094723,"2018-11-13",2,2,1,2750,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16783,"","Fenway - Kenmore - Audubon Circle - Longwood",16783,"Office","02215","41 Bay State Road","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",160245,42.3442914,-71.1008899,"2018-11-13",3,3,2.5,7224,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Office","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2519807,42.3442914,-71.1008899,"2018-11-13",1,1,1,3011,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2083511,42.345468,-71.1048839,"2018-11-08",3,3,1,3695,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16783,"","Fenway - Kenmore - Audubon Circle - Longwood",16783,"Office","02215","452 Park Drive","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2012612,42.345468,-71.1048839,"2018-11-08",3,3,1,2995,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16783,"","Fenway - Kenmore - Audubon Circle - Longwood",16783,"Office","02215","452 Park Drive","","","","Active",0,0,FALSE,"exact","13-11-2018"
"Local Property Shop Boston, LLC",2621237,42.34856,-71.09332,"2018-11-12",0,0,1,2050,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16783,"","Fenway - Kenmore - Audubon Circle - Longwood",16783,"MLSPIN","02215","466 Commonwealth Ave","","localpropertyshop","72422312","Active",0,0,FALSE,"exact","13-11-2018"
